Status,Ordertyp,WKN,Limit,Nom,ANom,Order_Value,Timestamp,JIM_Value,Spread_Prozentual,Target_Market_Count,Tradegate_Volume,Risk Score,Decision,Reasons,jim_risk,spread_risk,mp_risk,tgv_risk
Ausgeführt,Limitiert,A426XC,0.035,,"1,100",38.50000000000001,,,,,,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,870967,90.1,347,,31264.699999999997,2026-04-14 09:31:02.4360,9901.4,0.0073,5.0,9981.25,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,920657,73.61,25,,1840.25,2026-04-14 09:26:27.6587,63680.3,0.0,6.0,63760.0,2.379180357142857,Automatic,All risk factors within automatic limits,0.7361,0.0,0,1.643080357142857
Ausgeführt,Limitiert,912613,115.8,,59,6832.2,2026-04-14 09:26:23.8650,15232.0,0.0023,4.0,15360.0,11.759234874809025,Automatic,All risk factors within automatic limits,3.8322000000000003,0.22999999999999998,0,7.697034874809024
Eingegeben,Limitiert,912613,115.8,59,,6832.2,2026-04-14 09:26:23.8650,15232.0,0.0023,4.0,15360.0,11.759234874809025,Automatic,All risk factors within automatic limits,3.8322000000000003,0.22999999999999998,0,7.697034874809024
Eingegeben,Limitiert,882017,98,30,,2940.0,2026-04-14 09:23:41.7154,14258.88,0.0054,4.0,8481.3,4.341,Automatic,All risk factors within automatic limits,1.176,0.54,0,2.625
Geändert,Limitiert,A3D7SC,5.5,"4,565",,25107.5,2026-04-14 09:24:42.2715,0.0,0.0296,5.0,3890.518,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,A426XC,0.035,"1,100",,38.50000000000001,,,,,,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Geändert,Limitiert,A2QA7P,4.3,"9,000",,38700.0,2026-04-14 09:24:24.3050,2854.44,0.0224,4.0,2102.1,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Gelöscht,Limitiert,A1W3NH,25,"1,000",,25000.0,2026-04-14 09:27:28.5032,0.0,0.0315,2.0,0.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Änderung schwebend,Limitiert,A3D7SC,5.5,"4,565",,25107.5,2026-04-14 09:24:42.2715,0.0,0.0296,5.0,3890.518,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,A2QNF3,30,150,,4500.0,2026-04-14 09:27:44.7554,9811.65,0.0179,4.0,9834.0,8.739563157894736,Automatic,All risk factors within automatic limits,1.8,2.0395631578947366,0,4.9
Ausgeführt,Limitiert,A41NM1,50.19,,19,953.6099999999999,2026-04-14 09:27:21.0840,24770.36,-0.0002,5.0,24827.5,1.2528814999999998,Automatic,All risk factors within automatic limits,0.38144399999999995,0.02,0,0.8514374999999998
Gelöscht,Limitiert,853681,27.07,195,,5278.65,2026-04-14 09:27:55.7352,4892.0,0.0171,5.0,4916.46,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,A3D7SC,5.48,"4,565",,25016.2,2026-04-14 09:24:42.2715,0.0,0.0296,5.0,3890.518,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,A40QVT,16,,"1,697",27152.0,2026-04-14 09:22:14.8807,4980.75,0.0,4.0,4992.2,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,A40QVT,16,,"1,697",27152.0,2026-04-14 09:22:14.8807,4980.75,0.0,4.0,4992.2,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,859034,73.86,,100,7386.0,2026-04-14 09:29:51.0629,0.0,0.0035,5.0,9999.22,18.51821910497099,Manual,"Order value is large (above 5160), high risk",10,0.35,0,8.168219104970989
Eingegeben,Limitiert,859034,73.86,100,,7386.0,2026-04-14 09:29:51.0629,0.0,0.0035,5.0,9999.22,18.51821910497099,Manual,"Order value is large (above 5160), high risk",10,0.35,0,8.168219104970989
Ausgeführt,Limitiert,853986,33.92,,500,16960.0,2026-04-14 09:30:23.4290,0.0,0.0041,5.0,6522.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,853986,33.92,500,,16960.0,2026-04-14 09:30:23.4290,0.0,0.0041,5.0,6522.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,853986,33.8,,500,16900.0,2026-04-14 09:30:23.4290,0.0,0.0041,5.0,6522.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Geändert,Limitiert,A0EAS0,11.8,"4,000",,47200.0,2026-04-14 09:25:01.5798,7077.375,0.0119,4.0,7087.5,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Gelöscht,Limitiert,853666,,500,,,2026-04-14 09:28:11.6392,9917.784,0.0094,4.0,9933.378,N/A,Error,cannot unpack non-iterable NoneType object,N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,863186,360,,100,36000.0,2026-04-14 09:29:27.1468,41710.4,0.0005,5.0,41940.0,18.35286656997378,Manual,"Jim value can cover large order (above 9000), risk increases logarithmically with order size",8.30286656997378,0.05,0,10
Eingegeben,Limitiert,A41NM1,50.19,19,,953.6099999999999,2026-04-14 09:27:21.0840,24770.36,-0.0002,5.0,24827.5,1.2528814999999998,Automatic,All risk factors within automatic limits,0.38144399999999995,0.02,0,0.8514374999999998
Geändert,Limitiert,A0B733,0.23,"7,000",,1610.0,2026-04-14 09:28:42.3533,10015.0074,0.0052,4.0,10036.0,2.6015,Automatic,All risk factors within automatic limits,0.644,0.52,0,1.4375
Ausgeführt,Limitiert,A2ARCV,20.72,,250,5180.0,2026-04-14 09:31:22.5442,5396.95,0.0039,5.0,5415.0,8.593386899231154,Automatic,All risk factors within automatic limits,2.1799999999999997,0.38999999999999996,0,6.023386899231155
Eingegeben,Limitiert,853986,33.8,500,,16900.0,2026-04-14 09:30:23.4290,0.0,0.0041,5.0,6522.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,A2ARCV,20.72,250,,5180.0,2026-04-14 09:31:22.5442,5396.95,0.0039,5.0,5415.0,8.593386899231154,Automatic,All risk factors within automatic limits,2.1799999999999997,0.38999999999999996,0,6.023386899231155
Eingegeben,Limitiert,A40QVT,16,"1,697",,27152.0,2026-04-14 09:22:14.8807,4980.75,0.0,4.0,4992.2,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,863186,360,100,,36000.0,2026-04-14 09:29:27.1468,41710.4,0.0005,5.0,41940.0,18.35286656997378,Manual,"Jim value can cover large order (above 9000), risk increases logarithmically with order size",8.30286656997378,0.05,0,10
Geändert,Limitiert,164676,15,500,,7500.0,2026-04-14 09:30:28.7524,0.0,0.0149,2.0,0.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
